pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,label
-1.345531415101891004e-01,-2.470193286925843890e-02,-1.135328090372795806e-01,9.572726164074743527e-02,-4.745108685816104566e-02,-9.371154723199681680e-02,6.400770607033248738e-02,5.163566508847787333e-03,0
4.261046700344843507e-02,-4.943786669666328177e-04,-1.201954244671038091e-01,-6.940159033037852920e-02,-1.068703680865093347e-01,4.705113963902733676e-02,-6.970859946275499708e-02,-5.144674631535568060e-02,0
8.696075240835159093e-02,-5.485310233502306565e-02,-1.259204468250352260e-02,9.900013163647890246e-02,4.095069408591466877e-03,-1.171959770056297742e-02,-3.941925071541105274e-02,5.964897578257549043e-02,0
5.458999417076583482e-02,-9.977830435365923900e-03,5.765277663980490457e-03,7.546061305508668104e-02,3.782962668248583162e-03,9.839364014131614378e-02,-6.157104544213598540e-02,3.118577301956665382e-02,0
-1.412794145386120637e-01,-3.052529750729401220e-02,-1.454504141574937959e-01,-9.541049434822408346e-03,4.328456064731954489e-02,2.835149892111147804e-02,-6.369198529456372715e-02,-1.885043236084283647e-01,0
1.203041702923636352e-01,3.037439561848251715e-02,-4.924373288274670052e-02,-1.145636608293737436e-03,-1.645558436573685626e-02,8.435958170352877983e-03,-1.681185527432477438e-04,8.113456444189261207e-02,0
4.169164319217697617e-02,7.410179442522794868e-02,-1.482204916380243864e-04,-1.225394163049561835e-01,-3.699241724935354442e-02,-3.817964710859504673e-02,-2.891250563613442792e-02,9.551882150845214525e-02,0
9.636678213772065238e-02,7.141163158381680365e-02,1.384798009143774211e-01,9.216794273843448293e-03,8.817097043628041586e-02,3.937081296048177553e-02,2.852735030796714477e-02,-5.735719648517405289e-02,0
-1.764925036368995837e-02,-6.441811957936009747e-02,-3.188177169716596704e-02,-1.107710142143333576e-01,1.020580758662347487e-01,1.163461124801503377e-01,-6.555698692258505288e-03,6.230805927103967579e-02,0
1.096436668370620593e-01,9.287679300884183961e-03,-1.443890083778540945e-01,1.027100025969505531e-01,-5.640711403594077938e-02,-2.111503977620436245e-03,-4.470831048702415822e-02,-1.012861769070503987e-01,0
7.229155582792909374e-02,1.513631427306109112e-01,-5.926941320592827439e-02,-4.213653469331773982e-02,8.116605035530698176e-02,-9.233896205119440648e-04,6.343276568833286500e-02,6.778508505055350075e-02,0
1.554436198612323648e-02,9.197330128471339905e-02,-2.631557169725572826e-02,-5.317751829428948862e-02,4.110684201530955678e-02,-4.442971818838227505e-02,8.782824848756960734e-02,3.556678660985531509e-02,0
6.365810683249749358e-02,2.456994019119978709e-02,-6.443704104028387392e-02,-1.479651473134126205e-01,4.298041965692830230e-02,5.710200331857501199e-02,-9.496788383667909006e-02,-2.457868210168061632e-02,0
-5.441304766182377198e-03,6.509091942030674482e-02,-5.539452296072328724e-02,5.830609133077348238e-02,4.973533435135383401e-02,7.585378852051490040e-02,1.683689614668198442e-01,5.066862552101094458e-02,0
-2.325430957013193897e-02,9.448614883043478241e-02,1.354360465106122235e-01,-1.288198321957912426e-04,8.206692152833428011e-02,1.331401295838844090e-01,-3.906513125088060395e-02,-1.352201245723576029e-01,0
2.430508389987304230e-02,1.085029344280813608e-02,-2.260664672008305676e-02,1.339264863330653921e-02,-5.172276695720109257e-02,8.677638004722484921e-02,-5.497768935707370713e-02,-1.394485991516512639e-02,0
